Test_Location,Chemical_Name,Chemical_Grade,Chemical_Analysis_Method,Chemical_Purity_Mean_,Species_Scientific_Name,Species_Common_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Min,Organism_Age_Max,Organism_Age_Units,Exposure_Type,Media_Type,Number_of_Doses,Conc_1_Type_Author,Conc_1_Mean_Author,Conc_Min_1_Author,Conc_1_Max_Author,Conc_1_Units_Author,Effect,Effect_Measurement,Endpoint,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,Response_Site,Observed_Duration_Days,Observed_Duration_Min_Days,Observed_Duration_Max_Days,Observed_Duration_Units_Days,Type,Measurement,Behavior,Nutrition,Location_GPS,Temperature_C,Humidity_%,Rainfall,Genomics,Bee_Strain_Origin,Other notes,Author,Reference_Number,Title,Source,Publication_Year,
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Spray, hand",No substrate,2,Active ingredient,1,NR,NR,AI lb/acre,Avoidance,Chemical avoidance,NOEL,1,NR,NR,AI lb/acre,NR,0.0417,NR,NR,Day(s),,,*,,*,*,*,*,*,*,"French conference proceedings from the National Institute of Agronomy Research (not available, no doi)","Mayer,D.F., J.D. Lunden, G. Kovacs, and E.R. Miliczky",81711,Field Evaluation of Non-Pesticide Chemicals as Honey Bee Repellents,"In: L.P.Elzunces, C.Elissier, & G.B.Lewis (Eds.), Hazards of Pesticides to Bees, Institute National de la Recherche Agronomique, Paris, France:159-168",2001,NA
Field artificial,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,10,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,"Environmental, unspecified",Litter,1,Formulation,10,NR,NR,g/20 L,Avoidance,Food avoidance,NR,10,NR,NR,g/20 L,NR,NR,2,9,Day(s),worker,colony,Y,N,"36.410497,128.9089083",25 ± 3,50-80,NR,NR,Andong National University,Behaviour: feeding behaviour and avoidance index; imidacloprid marginally avoided,"Kang,M., and C. Jung",187239,"Avoidance Behavior of Honey Bee, Apis mellifera from Commonly Used Fungicides, Acaricides and Insecticides in Apple Orchards",J. Apic. Res.32(4): 295-302,2017,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Pestanal grade,Unmeasured,NR,Apis mellifera,Honey Bee,Larva,NR,NR,NR,NR,Food,No substrate,2,Active ingredient,5,NR,NR,ug/kg diet,Behavior,Search/explore/forage behavior,LOEL,5,NR,NR,ug/kg diet,NR,42,NR,NR,Day(s),"larvae, worker",individual,Y,N,"33°46′07.2″S, 151°06′46.8″E",NR,,NR,NR,NR,"To explore how trace levels of the neonicotinoid pesticide imidacloprid impacted colony foraging performance, we equipped bees with RFID tags that allowed us to track their lifetime flight behavior. One group of bees was exposed to a trace concentration (5 μg/kg, ppb) of imidacloprid in sugar syrup while in the larval stage. The imidacloprid residues caused bees to start foraging when younger as adults and perform fewer orientation flights, and reduced their lifetime foraging flights by 28%. The magnitude of the effects of a trace imidacloprid concentration delivered only during larval stage highlights the severity of pesticide residues for bee foraging performance. Our data suggest that neonicotinoids could impact colony function by imbalancing the normal age based division of labor in a colony and reducing foraging efficiency. Understanding this mechanism will help the development of interventions to safeguard bee colony health.","Colin,T., W.G. Meikle, X. Wu, and A.B. Barron",184376,Traces of a Neonicotinoid Induce Precocious Foraging and Reduce Foraging Performance in Honey Bees,Environ. Sci. Technol.53(14): 8252-8261,2019,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Spray, unspecified",Natural soil,2,Active ingredient,0.0626,NR,NR,AI lb/acre,Behavior,Search/explore/forage behavior,NOEL,0.0626,NR,NR,AI lb/acre,NR,13,NR,NR,Day(s),worker,NR,Y*,N,NR,NR,NR,NR,NR,NR,* Mention honey bee activity but just look at whether worker honey bees are present/absent during apple blooming,"Hull,L.A.",98588,"Apple, Prebloom Evaluation of Insecticides, 1995",Arthropod Manag. Tests21:29-30,1996,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,95,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,Food,No substrate,1,Active ingredient,1200,NR,NR,ug/L diet,Feeding behavior,Feeding behavior,LOEL,1200,NR,NR,ug/L diet,NR,0.0625,NR,NR,Day(s),worker,individual,Y,N,NR,22.6-32.8,,NR,NR,"National Chung Hsing University, Taiwan","In this article, the foraging behavior of the honey bee worker was investigated to show the effects of imidacloprid. By measuring the time interval between two visits at the same feeding site, we found that the normal foraging interval of honey bee worker was within 300 s. However, these honey bee worker delayed their return visit for 􏰀300 s when they were treated orally with sugar water containing imidacloprid. This time delay in their return visit is concentration-dependent, and the lowest effective concentration was found to be 50 ug/liter. When bees were treated with an imidacloprid concentration higher than 1,200 ug/liter, they showed abnormalities in revisiting the feeding site. Some of them went missing, and some were present again at the feeding site the next day. Returning bees also showed delay in their return trips. Our results demonstrated that sublethal dosages of imidacloprid were able to affect foraging behavior of honey bees.","Yang,E.C., Y.C. Chuang, Y.L. Chen, and L.H. Chang",164758,Abnormal Foraging Behavior Induced by Sublethal Dosage of Imidacloprid in the Honey Bee (Hymenoptera: Apidae),J. Econ. Entomol.101(6): 1743-1748,2008,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Spray, unspecified",No substrate,6,Formulation,50,NR,NR,ppm,Feeding behavior,Food consumption,LOEL,50,NR,NR,ppm,NR,0.1458,NR,NR,Day(s),,,,,,,,,,,Cannot find online; old citation,"Mayer,D.F., and J.D. Lunden",169047,Effects of Imidacloprid Insecticide on Three Bee Pollinators,Hortic. Sci.29:93-97,1997,NA
Field artificial,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,Multiple,NR,NR,NR,NR,Food,No substrate,2,Formulation,2,NR,NR,ug/L diet,Genetics,Trehalase mRNA,LOEL,2,NR,NR,ug/L diet,Whole organism,15,NR,NR,Day(s),"larvae, worker",NR,N,N,NR,NR,NR,NR,NR,Nottinghamshire region in England; the bees are likely hybrids of the Carniolan honeybee (Apis mellifera carnica) and the European dark bee (Apis mellifera mellifera),Field? // Do not look at LD50 or any other related trait (survival/performance/behavior) but at transcript following exposure to low concentration of Imidacloprid.,"Derecka,K., M.J. Blythe, S. Malla, D.P. Genereux, A. Guffanti, P. Pavan, A. Moles, C. Snart, T. Ryder, C.A. Ortori, D.A",169003,Transient Exposure to Low Levels of Insecticide Affects Metabolic Networks of Honeybee Larvae,PLoS One8(7): 11 p.,2013,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Diet, unspecified",No substrate,2,Formulation,24,NR,NR,ug/kg diet,Genetics,Tyramine receptor-like mRNA,LOEL,24,NR,NR,ug/kg diet,NR,1,NR,NR,Day(s),worker,individual,Y,N,"28.46 °N, 115.49 °E",NR,,NR,NR,NR,"They did a sublethal study and based their 24 ug/kg concentration on the LOEC. Abstract here: We found the waggle dances were modulated in honeybees fed sucrose water containing imidacloprid (pesticide group) compared to those fed normal sucrose water (control group). In our data, dancers of the pesticide group significantly increased the variance of divergence angle and the return phases in waggle dances than the control group. And the dance followers in pesticide group significantly increased the variance of crop content than the control group. Furthermore, four learning and memory related genes were significantly regulated at the gene expression levels between pesticide and control group. Our data revealed that the sub-lethal dose of imidacloprid impaired the honeybees’ learning and memory and resulted in cognitive disorder. The dancers may adjust their recruitment behavior leading to the observed reduced number of followers. We conclude that modulation of in-hive communication serves to protect the colony from foraging toxic food.","Zhang,Z.Y., Z. Li, Q. Huang, W.Y. Yan, L.Z. Zhang, and Z.J. Zeng",184427,Honeybees (Apis mellifera) Modulate Dance Communication in Response to Pollution by Imidacloprid,J. Asia Pac. Entomol.23(2): 477-482,2020,NA
Field artificial,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Measured,99.5,Apis mellifera,Honey Bee,NR,10,NR,NR,Day(s),"Spray, unspecified",No substrate,2,Active ingredient,NR,2.2,13.2,ppb,Growth,Weight,NOEL,NR,2.2,13.2,ppb,Whole organism,30.44,NR,NR,Day(s),,,*,,*,*,*,*,*,*,Thesis - not peer-reviewed paper (never published),"Johnson,J.",159510,"The Role of Pesticides on Honey Bee Health and Hive Maintenance with an Emphasis on the Neonicotinoid, Imidacloprid","Ph.D. Thesis, University of Maryland, Baltimore, MD:187 p.",2012,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Pestanal grade,Unmeasured,NR,Apis mellifera,Honey Bee,Multiple,NR,NR,NR,NR,Food,No substrate,2,Active ingredient,5,NR,NR,ug/kg diet,Growth,Weight,LOEL,5,NR,NR,ug/kg diet,Whole organism,254,NR,NR,Day(s),worker,colony,N,N,"31°48′5.85″N, 110°53′23.15″W",NR,,NR,NR,"C.F. Koehnen & Sons, Glenn, CA, USA","We exposed hives to a trace amount of the neonicotinoid imidacloprid and to the acaricide thymol, and measured capped brood, bee and honey production, as well as the temperature and foraging force of the colonies. The effect of imidacloprid on colony dynamics differed between the two environments. In Tucson we recorded a positive effect of imidacloprid treatment on bee and brood numbers. Thymol was associated with short-term negative effects on bee numbers at both locations, and may have affected colony survival at one location. The overall benefits of thymol for the colonies were unclear. We conclude that long-term and colony-level measures of the effects of agrochemicals are needed to properly understand risks to bees.","Colin,T., W.G. Meikle, A.M. Paten, and A.B. Barron",184375,Long-Term Dynamics of Honey Bee Colonies Following Exposure to Chemical Stress,Sci. Total Environ.677:660-670,2019,NA
