Test_Location,Chemical_Name,Chemical_Grade,Chemical_Analysis_Method,Chemical_Purity_Mean_,Species_Scientific_Name,Species_Common_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Min,Organism_Age_Max,Organism_Age_Units,Exposure_Type,Media_Type,Number_of_Doses,Conc_1_Type_Author,Conc_1_Mean_Author,Conc_Min_1_Author,Conc_1_Max_Author,Conc_1_Units_Author,Effect,Effect_Measurement,Endpoint,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,Response_Site,Observed_Duration_Days,Observed_Duration_Min_Days,Observed_Duration_Max_Days,Observed_Duration_Units_Days,Type,Measurement,Behavior,Nutrition,Location_GPS,Temperature_C,Humidity_%,Rainfall,Genomics,Bee_Strain_Origin,Other notes,Author,Autho_Affiliation,Journal,Reference_Number,Title,Source,Publication_Year,,Note_Nutrition
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,Not intact,NR,NR,NR,NR,In Vitro,Culture,NR,Formulation,1.2,0.97,1.6,ul,Accumulation,"Accumulation, general",IC50,1.2,0.97,1.6,ul,NR,0.0417,NR,NR,Day(s),worker,individual,N,N,NR,20-22,NR,NR,NR,"Bayer AG, CropScience Division, Monheim, Germany.","Here, we show that the sensitivity of the two most economically important bee species to neonicotinoids is determined by cytochrome P450s of the CYP9Q subfamily. Radioligand binding and inhibitor assays showed that variation in honeybee sensitivity to N-nitroguanidine and N-cyanoamidine neonicotinoids does not reside in differences in their affinity for the receptor but rather in divergent metabolism by P450s. Functional expression of the entire CYP3 clade of P450s from honeybees identified a single P450, CYP9Q3, that metabolizes thiacloprid with high efficiency but has little activity against imidacloprid. We demonstrate that bumble bees also exhibit profound differences in their sensitivity to different neonicotinoids, and we identify CYP9Q4 as a functional ortholog of honeybee CYP9Q3 and a key metabolic determinant of neonicotinoid sensitivity in this species. Our results demonstrate that bee pollinators are equipped with biochemical defense systems that define their sensitivity to insecticides and this knowledge can be leveraged to safeguard bee health.","Manjon,C., B.J. Troczka, M. Zaworra, K. Beadle, E. Randall, G. Hertlein, K.S. Singh, C.T. Zimmer, R.A. Homem, B. Lueke,",,,183814,Unravelling the Molecular Determinants of Bee Sensitivity to Neonicotinoid Insecticides,Curr. Biol.28(7): 1137-1144,2018,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,Adult,8,NR,NR,Day(s),"Topical, general",No substrate,4,Formulation,0.1,NR,NR,ng/org,Avoidance,Stimulus avoidance,LOEL,0.1,NR,NR,ng/org,NR,0.0417,NR,NR,Day(s),worker,colony,Y,N,NR,31,80,,NR,NR,"We examined the effects of sublethal doses (0.1, 1, and 10 ng per animal) of a new neonicotinoid insecticide, Imidacloprid, on habituation of the proboscis extension reflex (PER) in honeybees (Apis mellifera) reared under laboratory conditions. In untreated honeybees, the habituation of the proboscis extension reflex is age-dependent and there is a significant increase in the number of trials required for habituation in older bees (8–10 days old) as compared to very young bees (4–7 days old). Imidacloprid alters the number of trials needed to habituate the honeybee response to multiple sucrose stimulation. In 7-day-old bees, treatment with Imidacloprid leads to an increase in the number of trials necessary to abolish the response, whereas in 8-day-old bees, it leads to a reduction in the number of trials for habituation (15 min and 1 h after treatment), and to an increase 4 h after treatment. The temporal effects of Imidacloprid in both 7- and 8-day-old bees suggest that 4h after treatment the observed effects are due to a metabolite of Imidacloprid, rather than to Imidacloprid itself. Our results suggest the existence of two distinct subtypes of nicotinic receptors in the honeybee that have different affinities to Imidacloprid and are differentially expressed in 7- and 8-day-old individuals.","Guez,D., S. Suchail, M. Gauthier, R. Maleszka, and L.P. Belzunces",,,103358,Contrasting Effects of Imidacloprid on Habituation in 7- and 8-Day-Old Honeybees (Apis mellifera),Neurobiol. Learn. Mem.76(2): 183-191,2001,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Measured,NR,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,Choice,No substrate,6,Active ingredient,1.16,NR,NR,ng/org/d,Avoidance,Food avoidance,LOEL,1.16,NR,NR,ng/org/d,NR,1,NR,NR,Day(s),worker,individual,Y,N,NR,34,NR,NR,NR,"National Bee Unit, Sand Hutton, Yorkshire, UK","The impact of neonicotinoid insecticides on insect pollinators is highly controversial. Sublethal concentrations alter the behaviour of social bees and reduce survival of entire colonies1,2,3. However, critics argue that the reported negative effects only arise from neonicotinoid concentrations that are greater than those found in the nectar and pollen of pesticide-treated plants4. Furthermore, it has been suggested that bees could choose to forage on other available flowers and hence avoid or dilute exposure4,5. Here, using a two-choice feeding assay, we show that the honeybee, Apis mellifera, and the buff-tailed bumblebee, Bombus terrestris, do not avoid nectar-relevant concentrations of three of the most commonly used neonicotinoids, imidacloprid (IMD), thiamethoxam (TMX), and clothianidin (CLO), in food. Moreover, bees of both species prefer to eat more of sucrose solutions laced with IMD or TMX than sucrose alone. Stimulation with IMD, TMX and CLO neither elicited spiking responses from gustatory neurons in the bees’ mouthparts, nor inhibited the responses of sucrose-sensitive neurons. Our data indicate that bees cannot taste neonicotinoids and are not repelled by them. Instead, bees preferred solutions containing IMD or TMX, even though the consumption of these pesticides caused them to eat less food overall. This work shows that bees cannot control their exposure to neonicotinoids in food and implies that treating flowering crops with IMD and TMX presents a sizeable hazard to foraging bees.","Kessler,S.C., E.J. Tiedeken, K.L. Simcock, S. Derveau, J. Mitchell, S. Softley, J.C. Stout, and G.A. Wright",,,173136,Bees Prefer Foods Containing Neonicotinoid Pesticides,Nature521:74-76,2015,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,10,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,Food,No substrate,2,Formulation,10,NR,NR,g/20 L diet,Avoidance,Food avoidance,LOEL,10,NR,NR,g/20 L diet,NR,NR,0.0417,0.125,Day(s),worker,colony,Y,N,"36.410497,128.9089083",25 ± 3,50-80,NR,NR,Andong National University,Behaviour: feeding behaviour and avoidance index; imidacloprid marginally avoided,"Kang,M., and C. Jung",,,187239,"Avoidance Behavior of Honey Bee, Apis mellifera from Commonly Used Fungicides, Acaricides and Insecticides in Apple Orchards",J. Apic. Res.32(4): 295-302,2017,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,Food,No substrate,2,Formulation,2.2,NR,NR,ng/org/d,Behavior,"Distance moved, change in direct movement",NOEL,2.2,NR,NR,ng/org/d,NR,NR,1,8,Day(s),worker,individual,N,N,NR,23-27,21-47,NR,NR,"University of Exeter, UK","On dosed syrup, honey bees maintained much lower bodily levels of imidacloprid than bumblebees (<0.2 ng versus 2.4 ng of imidacloprid per bee). Dietary imidacloprid did not affect the behaviour of honey bees, but it reduced feeding and locomotory activity in bumblebees. After the pulsed exposure, bumblebees cleared bodily imidacloprid after 48 h and recovered behaviourally.","Cresswell,J.E., F.X.L. Robert, H. Florance, and N. Smirnoff",,,168900,Clearance of Ingested Neonicotinoid Pesticide (Imidacloprid) in Honey Bees (Apis mellifera) and Bumblebees (Bombus terrestris),Pest Manag. Sci.70:332-337,2014,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,Food,No substrate,10,Formulation,125,NR,NR,ug/L diet,Behavior,"Distance moved, change in direct movement",NOEL,125,NR,NR,ug/L diet,NR,6,NR,NR,Day(s),worker,individual,N,N,NR,25,40,NR,NR,"University of Exeter, UK","Currently, there is concern about declining bee populations and the sustainability of pollination services. One potential threat to bees is the unintended impact of systemic insecticides, which are ingested by bees in the nectar and pollen from flowers of treated crops. To establish whether imidacloprid, a systemic neonicotinoid and insect neurotoxin, harms individual bees when ingested at environmentally realistic levels, we exposed adult worker bumble bees, Bombus terrestris L. (Hymenoptera: Apidae), and honey bees, Apis mellifera L. (Hymenoptera: Apidae), to dietary imidacloprid in feeder syrup at dosages between 0.08 and 125 μg l−1. Honey bees showed no response to dietary imidacloprid on any variable that we measured (feeding, locomotion and longevity). In contrast, bumble bees progressively developed over time a dose-dependent reduction in feeding rate with declines of 10–30% in the environmentally relevant range of up to 10 μg l−1, but neither their locomotory activity nor longevity varied with diet. To explain their differential sensitivity, we speculate that honey bees are better pre-adapted than bumble bees to feed on nectars containing synthetic alkaloids, such as imidacloprid, by virtue of their ancestral adaptation to tropical nectars in which natural alkaloids are prevalent. We emphasise that our study does not suggest that honey bee colonies are invulnerable to dietary imidacloprid under field conditions, but our findings do raise new concern about the impact of agricultural neonicotinoids on wild bumble bee populations.","Cresswell,J.E., C.J. Page, M.B. Uygun, M. Holmbergh, Y. Li, J.G. Wheeler, I. Laycock, C.J. Pook, N.H. De Ibarra, N. Smi",,,169090,Differential Sensitivity of Honey Bees and Bumble Bees to a Dietary Insecticide (Imidacloprid),Zoology115:365-371,2012,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,Food,No substrate,4,Formulation,10,NR,NR,nM diet,Behavior,"Accuracy of learned task, performance",LOEL,10,NR,NR,nM diet,NR,0.009,NR,NR,Day(s),worker,individual,N,N,NR,24,NR,NR,NR,"National Bee Unit, Sand Hutton, Yorkshire, UK","Neonicotinoids are often applied as systemic seed treatments to crops and have reported negative impact on pollinators when they appear in floral nectar and pollen. Recently, we found that bees in a two-choice assay prefer to consume solutions containing field-relevant doses of the neonicotinoid pesticides, imidacloprid (IMD) and thiamethoxam (TMX), to sucrose alone. This suggests that neonicotinoids enhance the rewarding properties of sucrose and that low, acute doses could improve learning and memory in bees. To test this, we trained foraging-age honeybees to learn to associate floral scent with a reward containing nectar-relevant concentrations of IMD and TMX and tested their short (STM) and long-term (LTM) olfactory memories. Contrary to our predictions, we found that none of the solutions enhanced the rate of olfactory learning and some of them impaired it. In particular, the effect of 10 nM IMD was observed by the second conditioning trial and persisted 24 h later. In most other groups, exposure to IMD and TMX affected STM but not LTM. Our data show that negative impacts of low doses of IMD and TMX do not require long-term exposure and suggest that impacts of neonicotinoids on olfaction are greater than their effects on rewarding memories.","Wright,G.A., S. Softley, and H. Earnshaw",,,183843,Low Doses of Neonicotinoid Pesticides in Food Rewards Impair Short-Term Olfactory Memory in Foraging-Age Honeybees,Sci. Rep.5:7 p.,2015,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,Food,No substrate,2,Active ingredient,5.98,NR,NR,AI ng/ml diet,Behavior,Flying behavior,NOEL,5.98,NR,NR,AI ng/ml diet,NR,105,NR,NR,Day(s),worker,colony,N,N,51°59′32.1612″ N and 5°39′47.0772″ E,25,NR,NR,NR,"Wageningen University and Research Centre in Wageningen, The Netherlands","Current high losses of honeybees seriously threaten crop pollination. Whereas parasite exposure is acknowledged as an important cause of these losses, the role of insecticides is controversial. Parasites and neonicotinoid insecticides reduce homing success of foragers (e.g. by reduced orientation), but it is unknown whether they negatively affect flight capacity. We investigated how exposing colonies to the parasitic mite Varroa destructor and the neonicotinoid insecticide imidacloprid affect flight capacity of foragers. Flight distance, time and speed of foragers were measured in flight mills to assess the relative and interactive effects of high V. destructor load and a field-realistic, chronic sub-lethal dose of imidacloprid. Foragers from colonies exposed to high levels of V. destructor flew shorter distances, with a larger effect when also exposed to imidacloprid. Bee body mass partly explained our results as bees were heavier when exposed to these stressors, possibly due to an earlier onset of foraging. Our findings contribute to understanding of interacting stressors that can explain colony losses. Reduced flight capacity decreases the food-collecting ability of honeybees and may hamper the use of precocious foraging as a coping mechanism during colony (nutritional) stress. Ineffective coping mechanisms may lead to destructive cascading effects and subsequent colony collapse.","Blanken,L.J., F. Van Langevelde, and C. Van Dooremalen",,,184184,Interaction Between Varroa destructor and Imidacloprid Reduces Flight Capacity of Honeybees,Proc. R. Soc. Lond. Ser. B Biol. Sci.282(1820): 1-9,2015,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Pestanal grade,Unmeasured,NR,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,"Diet, unspecified",No substrate,2,Active ingredient,5,NR,NR,ppb diet,Behavior,"Accuracy of learned task, performance",NOEL,5,NR,NR,ppb diet,NR,52,NR,NR,Day(s),worker,individual,N,N,NR,24,NR,NR,NR,Macquarie University Research Apiary,"Despite growing concerns over the impacts of agricultural pesticides on honey bee health, miticides (a group of pesticides used within hives to kill bee parasites) have received little attention. We know very little about how miticides might affect bee cognition, particularly in interaction with other known stressors, such as crop insecticides. Visual learning is essential for foraging bees to find their way to flowers, recognize them, and fly back to the nest. Using a standardized aversive visual conditioning assay, we tested how field exposure to three pesticides affects visual learning in European honey bees (Apis mellifera). Our pesticides were two common miticides, thymol in the commercial formulation Apiguard® and tau-fluvalinate in the formulation Apistan® and one neonicotinoid, imidacloprid. We found no effect of miticides alone, nor of field-relevant doses of imidacloprid alone, but bees exposed to both thymol and imidacloprid showed reduced performance in the visual learning assay.","Colin,T., J.A. Plath, S. Klein, P. Vine, J.M. Devaud, M. Lihoreau, W.G. Meikle, and A.B. Barron",,,184321,The Miticide Thymol in Combination with Trace Levels of the Neonicotinoid Imidacloprid Reduces Visual Learning Performance in Honey Bees (Apis mellifera),Apidologie51:499-509,2020,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Pestanal grade,Unmeasured,NR,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,"Diet, unspecified",No substrate,4,Active ingredient,100,NR,NR,ppb diet,Behavior,Aggregation/Clumping,LOEL,100,NR,NR,ppb diet,NR,NR,0,35,Day(s),"worker, queen",colony,N,N,"31° 46′ 38.08″ N, 110° 51′ 47.39″ W",30,50,NR,NR,"Carl Hayden Bee Research Center, Tucson, AZ, USA","Survivorship, syrup consumption, and cluster temperatures of honey bees were kept in hoarding cages with different numbers of bees. Cages with either 50, 100, 150, or 200 bees each were monitored over 4–6 weeks in incubators with 12h/12h 30° C/15° C temperature cycles to induce clustering. Survivorship and syrup consumption rates per bee were not different among the bee density groups, but cluster temperatures were. Cluster temperatures ranged from 0.45°C above incubator temperature in the 50 bee cages to 4.05° C in the 200 bee cages over the 1st 7 days, with each additional bee adding on average 0.02° C to cluster temperature. In another set of experiments, cages were established with about 200 bees each, and imidacloprid added to the syrup at 0, 5, 20, and 100 ppb. Imidacloprid in the syrup did not affect bee survivorship but it did reduce syrup consumption per bee, with bees fed 100 ppb imidacloprid syrup consuming on average 631 mg per bee over 28 days while average consumption among the other groups ranged from 853 to 914 mg. Cluster temperature was affected by imidacloprid treatment: bees fed 5 ppb imidacloprid syrup had higher cluster temperatures over the 1st 10 days, 4.17° C above incubator temperature, than either bees fed 100 ppb syrup or control (2.35 and 3.19° C, respectively).","Meikle,W.G., J.J. Adamczyk, M. Weiss, and A. Gregorc",,,184403,Effects of Bee Density and Sublethal Imidacloprid Exposure on Cluster Temperatures of Caged Honey Bees,Apidologie49(5): 581-593,2018,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,98,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,Food,No substrate,3,Active ingredient,12,NR,NR,ng/org,Behavior,Smell/Sniff,LOEL,12,NR,NR,ng/org,NR,0.0104,NR,NR,Day(s),worker,individual,Y,N,NR,25 ± 2,55 ± 10,NR,NR,NR,"Imidacloprid is a chloronicotinyl insecticide which interacts with insect nicotinic acetylcholine receptors. Thirty minutes after oral treatment of honeybees with imidacloprid, the olfactory learning performances in a proboscis extension reflex (PER) procedure were impaired. In parallel, an increase of the cytochrome oxidase labelling was found into the calyces of the mushroom bodies. Imidacloprid administered 15 min or 1 h after a one-trial conditioning of PER impaired the medium-term olfactory memory. By contrast, the short-term (30 s or 3 min conditioning-treatment time interval) and long-term (24 h conditioning-treatment time interval) memories were unaffected. The impairment of medium-term olfactory memory by imidacloprid is discussed in the context of neural circuits suspected to mediate memory formation in the honeybee brain.","Decourtye,A., C. Armengaud, M. Renou, J. Devillers, S. Cluzeau, M. Gauthier, and M.H. Pham-Delegue",,,73620,Imidacloprid Impairs Memory and Brain Metabolism in the Honeybee (Apis mellifera L.),Pestic. Biochem. Physiol.78(2): 83-92,2004,NA,
Lab,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,Food,No substrate,3,Active ingredient,100,NR,NR,AI ppb diet,Behavior,Rest,LOEL,100,NR,NR,AI ppb diet,NR,0.0208,NR,NR,Day(s),worker,individual,Y,N,NR,25 ± 1,60-70,NR,NR,NR,,"Medrzycki,P., R. Montanari, L. Bortolotti, A.G. Sabatini, S. Maini, and C. Porrini",,,81998,Effects of Imidacloprid Administered in Sub-lethal Doses on Honey Bee Behaviour. Laboratory Tests,Bull. Insectol.56(1): 59-62,2003,NA,
