"CAS_Number","Chemical_Name","Chemical_Grade","Chemical_Analysis_Method","Chemical_Purity_Mean_Op","Chemical_Purity_Mean_","Chemical_Purity_Min_Op","Chemical_Purity_Min_","Chemical_Purity_Max_Op","Chemical_Purity_Max_","Species_Scientific_Name","Species_Common_Name","Species_Group","Organism_Lifestage","Organism_Age_Mean_Op","Organism_Age_Mean","Organism_Age_Min_Op","Organism_Age_Min","Organism_Age_Max_Op","Organism_Age_Max","Organism_Age_Units","Exposure_Type","Media_Type","Test_Location","Number_of_Doses","Conc_1_Type_Author","Conc_1_Mean_Op_Author","Conc_1_Mean_Author","Conc_1_Min_Op_Author","Conc_Min_1_Author","Conc_1_Max_Op_Author","Conc_1_Max_Author","Conc_1_Units_Author","Conc_2_Type_Author","Conc_2_Mean_Op_Author","Conc_2_Mean_Author","Conc_2_Min_Op_Author","Conc_Min_2_Author","Conc_2_Max_Op_Author","Conc_2_Max_Author","Conc_2_Units_Author","Conc_3_Type_Author","Conc_3_Mean_Op_Author","Conc_3_Mean_Author","Conc_3_Min_Op_Author","Conc_Min_3_Author","Conc_3_Max_Op_Author","Conc_3_Max_Author","Conc_3_Units_Author","Effect","Effect_Measurement","Endpoint","Observed_Response_Mean_Op","Observed_Response_Mean","Observed_Response_Min_Op","Observed_Response_Min","Observed_Response_Max_Op","Observed_Response_Max","Result_Statistical_Method","Observed_Response_Value","Observed_Response_Units","Response_Site","Observed_Duration_Op_Days","Observed_Duration_Days","Observed_Duration_Min_Op_Days","Observed_Duration_Min_Days","Observed_Duration_Max_Op_Days","Observed_Duration_Max_Days","Observed_Duration_Units_Days","Author","Reference_Number","Title","Source","Publication_Year","","aq_ter"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not intact","","NR","","NR","","NR","Not reported","In Vitro","Culture","Lab","8","Formulation","","25.1","","NR","","NR","uM","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Physiology","Conductivity","EC50","","25.1","","NR","","NR",NA,NA,"uM","Not reported","",".0003","","NR","","NR","Day(s)","Deglise,P., B. Grunewald, and M. Gauthier",183943,"The Insecticide Imidacloprid is a Partial Agonist of the Nicotinic Receptor of Honeybee Kenyon Cells","Neurosci. Lett.321(1-2): 13-16",2002,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not intact","","NR","","NR","","NR","Not reported","In Vitro","Culture","Lab","NR","Formulation","","1.2","","0.97","","1.6","ul","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Accumulation","Accumulation, general","IC50","","1.2","","0.97","","1.6",NA,NA,"ul","Not reported","",".0417","","NR","","NR","Day(s)","Manjon,C., B.J. Troczka, M. Zaworra, K. Beadle, E. Randall, G. Hertlein, K.S. Singh, C.T. Zimmer, R.A. Homem, B. Lueke,",183814,"Unravelling the Molecular Determinants of Bee Sensitivity to Neonicotinoid Insecticides","Curr. Biol.28(7): 1137-1144",2018,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Pure grade","Unmeasured",">","99",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","1","","5","Week(s)","Food","No substrate","Lab","11","Active ingredient","","2.2","","NR","","NR","mg/L diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","2.2","","NR","","NR",NA,NA,"mg/L diet","Not reported","","2","","NR","","NR","Day(s)","Bommuraj,V., Y. Chen, M. Birenboim, S. Barel, and J.A. Shimshoni",186740,"Concentration- and Time-Dependent Toxicity of Commonly Encountered Pesticides and Pesticide Mixtures to Honeybees (Apis mellifera L.)","Chemosphere266:11 p.",2021,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Technical grade, technical product, technical formulation","Unmeasured","","97.00",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Food","No substrate","Lab","6","Active ingredient","","24.09","","18.96","","29.22","ug/g diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","24.09","","18.96","","29.22",NA,NA,"ug/g diet","Not reported","","2","","NR","","NR","Day(s)","Yue,M., S.D. Luo, J.L. Liu, and J. Wu",183781,"Apis cerana is Less Sensitive to Most Neonicotinoids, Despite of Their Smaller Body Mass","J. Econ. Entomol.111(1): 39-42",2018,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","NR","","NR","Not reported","Diet, unspecified","No substrate","Lab","'5-7","Active ingredient","","700000","","NR","","NR","AI ug/ml diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","700000","","NR","","NR",NA,NA,"AI ug/ml diet","Not reported","","1.2083","","NR","","NR","Day(s)","Tome,H.V.V., G.S. Ramos, M.F. Araujo, W.C. Santana, G.R. Santos, R.N.C. Guedes, C.D. Maciel, P.L. Newland, and E.E. Oli",177575,"Agrochemical Synergism Imposes Higher Risk to Neotropical Bees than to Honeybees","R. Soc. Open Sci.4:11 p.",2017,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","NR","","NR","Not reported","Diet, unspecified","No substrate","Lab","'5-7","Active ingredient","","240.1","","184.2","","292.3","AI ug/ml diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","240.1","","184.2","","292.3",NA,NA,"AI ug/ml diet","Not reported","","1.2083","","NR","","NR","Day(s)","Tome,H.V.V., G.S. Ramos, M.F. Araujo, W.C. Santana, G.R. Santos, R.N.C. Guedes, C.D. Maciel, P.L. Newland, and E.E. Oli",177575,"Agrochemical Synergism Imposes Higher Risk to Neotropical Bees than to Honeybees","R. Soc. Open Sci.4:11 p.",2017,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Environmental, unspecified","No substrate","Lab","5","Active ingredient","","369.7","","272.9","","458.5","AI ppm","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","369.7","","272.9","","458.5",NA,NA,"AI ppm","Not reported","",".25","","NR","","NR","Day(s)","Farooqi,M.A., M.U. Hasan, and M. Arshad",183862,"Toxicity of Three Commonly Used Nicotinoids and Spinosad to Apis mellifera L. (Hymenoptera: Apidae) Using Surface Residual Bioassays","Pak. J. Zool.48(6): 1983-1987",2016,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Environmental, unspecified","No substrate","Lab","5","Active ingredient","","798.9","","642.5","","1088.9","AI ppm","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","798.9","","642.5","","1088.9",NA,NA,"AI ppm","Not reported","",".125","","NR","","NR","Day(s)","Farooqi,M.A., M.U. Hasan, and M. Arshad",183862,"Toxicity of Three Commonly Used Nicotinoids and Spinosad to Apis mellifera L. (Hymenoptera: Apidae) Using Surface Residual Bioassays","Pak. J. Zool.48(6): 1983-1987",2016,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Environmental, unspecified","No substrate","Lab","5","Active ingredient","","16.6/","","NR/","","NR/","AI ppm","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","16.6/","","NR/","","NR/",NA,NA,"AI ppm","Not reported","","1","","NR","","NR","Day(s)","Farooqi,M.A., M.U. Hasan, and M. Arshad",183862,"Toxicity of Three Commonly Used Nicotinoids and Spinosad to Apis mellifera L. (Hymenoptera: Apidae) Using Surface Residual Bioassays","Pak. J. Zool.48(6): 1983-1987",2016,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Environmental, unspecified","No substrate","Lab","5","Active ingredient","","253.2","","137.9","","341.2","AI ppm","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","253.2","","137.9","","341.2",NA,NA,"AI ppm","Not reported","",".5","","NR","","NR","Day(s)","Farooqi,M.A., M.U. Hasan, and M. Arshad",183862,"Toxicity of Three Commonly Used Nicotinoids and Spinosad to Apis mellifera L. (Hymenoptera: Apidae) Using Surface Residual Bioassays","Pak. J. Zool.48(6): 1983-1987",2016,NA,"Terrestrial"
