"Species_Scientific_Name","family","genus"
"Aedes aegypti","Culicidae","Aedes"
"Aenasius arizonensis","Encyrtidae","Aenasius"
"Anobiidae","Ptinidae",NA
"Anopheles gambiae","Culicidae","Anopheles"
"Anystidae","Anystidae",NA
"Aphididae","Aphididae",NA
"Aphidius gifuensis","Braconidae","Aphidius"
"Aphidius rhopalosiphi","Braconidae","Aphidius"
"Aphis gossypii","Aphididae","Aphis"
"Apis cerana","Apidae","Apis"
"Apis mellifera","Apidae","Apis"
"Apolygus lucorum","Miridae","Apolygus"
"Bagrada hilaris","Pentatomidae","Bagrada"
"Brevicoryne brassicae","Aphididae","Brevicoryne"
"Cerambycidae","Cerambycidae",NA
"Chilocorus stigma","Coccinellidae","Chilocorus"
"Chrysobothris femorata","Buprestidae","Chrysobothris"
"Chrysoperla rufilabris","Chrysopidae","Chrysoperla"
"Chrysoperla sp.","Chrysopidae","Chrysoperla"
"Cicadellidae","Cicadellidae",NA
"Coccinella septempunctata","Coccinellidae","Coccinella"
"Coccinellidae","Coccinellidae",NA
"Cryptolaemus montrouzieri","Coccinellidae","Cryptolaemus"
"Curculionidae","Curculionidae",NA
"Cyrtorhinus lividipennis","Miridae","Cyrtorhinus"
"Dalotia coriaria","Staphylinidae","Dalotia"
"Delphacidae","Delphacidae",NA
"Diaspididae","Diaspididae",NA
"Empoasca fabae","Cicadellidae","Empoasca"
"Encarsia citrina","Aphelinidae","Encarsia"
"Encarsia sp.","Aphelinidae","Encarsia"
"Eulecanium cerasorum","Coccidae","Eulecanium"
"Geocoris punctipes","Geocoridae","Geocoris"
"Harmonia axyridis","Coccinellidae","Harmonia"
"Helicoverpa zea","Noctuidae","Helicoverpa"
"Hippodamia convergens","Coccinellidae","Hippodamia"
"Hylyphantes graminicola","Linyphiidae","Hylyphantes"
"Hypothenemus sp.","Curculionidae","Hypothenemus"
"Leptinotarsa decemlineata","Chrysomelidae","Leptinotarsa"
"Leptomastix dactylopii","Encyrtidae","Leptomastix"
"Lipaphis erysimi","Aphididae","Lipaphis"
"Mezium affine","Ptinidae","Mezium"
